qqr_latin	qqr_kirill	ruscha
jalǵattır-	жалғаттыр-	понуд. от жалғат-. - жалғаў - 1) и. д. от жалға-;
jalǵaw	жалғаў	или сез жасаўшы жал
jalǵız	жалғыз	1) едйнствеиный, оди
-jalǵız	-жалғыз	одйн-одинёшеиек; жал
ǵız-jarım	ғыз-жарым	а) одинокий; б) в
jalǵızaq	жалғызақ	вепрь, кабан
jalǵızla-	жалғызла-	действовать в оди
jalǵızlan-	жалғызлан-	ст - рад, от жал
ǵızla-	ғызла-	быть одиноким
jalǵızlanıw	жалғызланыў	и. д. от жал
ǴIZLIQ	ҒЫЗЛЫҚ	шек- чувствовать оди
jalǵızsın-	жалғызсын-	чувствовать себя
jalǵızsıra-	жалғызсыра-	чувствовать оди - ночество; скучать в одиночестве
jalǵızsırat-	жалғызсырат-	понуд. от жал
ǵızsıra-	ғызсыра-	дать почувствовать - одиночество; заставить скучать
jalǵızshılıq	жалғызшылық	одиночество
jalqaw	жалқаў	ленйвый; / лентяй, л о
jalqawlan-	жалқаўлан-	ленйться
jalqawlanıw	жалқаўланыў	и. д. от жал
qawlan-	қаўлан-	леность, лень
jalqawlıq	жалқаўлық	леность, лодырни
jalqı	жалқы	едйнствеиный, одйн (о
suwdan	суўдан	ат жаллап өт- переправ
jallanıw	жалланыў	и. д. от жаллан
jallanıwshı	жалланыўшы	наёмник; / на
jallaw	жаллаў	и. д. от - жалла- I
jallawshı	жаллаўшы	нанимающий; / на
jallıqlı	жаллықлы	имеющий мёлкий
jalmawızlıq	жалмаўызлық	прожорливость
jalpayıw	жалпайыў	и. д. от - жалпайрасплющивание; распластывание
jalpaq	жалпақ	1) плоский; широкий;
jalpaqlıq	жалпақлық	плоскость
jalpılaw	жалпылаў	обобщение
jalpıldaq	жалпылдақ	1) прйхвостень
jalpıldaqlıq	жалпылдақлық	1) подхалймство; приспёшничество, пособниче
jalpıldawshılıq	жалпылдаўшылық	см. жалпылдақлық
jalpıldawıq	жалпылдаўық	см - жалпылдақ
qala	қала	жазладым моя лошадь ша - рахнулась, и я чуть не упал;
jaltaq	жалтақ	нерешительный, бояз
jaltaqla-	жалтақла-	1) проявлять не
jaltaqlas-	жалтақлас-	взаимн. от жалтақла
jaltaqlıq	жалтақлық	нерешительность
jaltanshaq	жалтаншақ	1) пугливый, бояз
jaltarǵısh	жалтарғыш	1) увёртливый
jaltarǵıshlıq	жалтарғышлық	1) увёртли
jaltıraq	жалтырақ	блеск; / блестящий
jaltırawıq	жалтыраўық	с.«. жалтырақ
jaltırawıqlı	жалтыраўықлы	блестящий, с
jaltırawıqsız	жалтыраўықсыз	без - блеска
jalshılıq	жалшылық	батрачество
jalıǵıw	жалығыў	и. д. от жалық-. - жалык.- - 1) лениться; 2) утом
jalıqtır-	жалықтыр-	понуд. от - жалық- - 1) вызвать лень; 2) утомйть
jalıqtıratuǵın	жалықтыратуғын	томитель - ный; жалықтыратуғын күттириў томительное ожидание
jalıqtırǵısh	жалықтырғыш	1) утомитель
jalıqtırıw	жалықтырыў	и. д. от жалық
jalınlatıw	жалынлатыў	и. д. от жалын
jalınlaw	жалынлаў	и. д. от жалынла
jalınıp-jalbarıwshı	жалынып-жалбарыўшы	стра
jalınıw	жалыныў	и. д. огп жалынобращёние с - просьбой, упраши
saǵan	саған	жалынышлы емеспен я не
jalınıshsızlıq	жалынышсызлық	незавйсимость
otka-jamǵa	отка-жамға	түседи погов. ради
jamaylıq	жамайлық	уст. - классовость;
jpmalıw	жпмалыў	и. д. от - жамал- - 1)
jamanlanǵan	жаманланған	отрицательный:
jamanlıq	жаманлық	1) зло; жаманлық
jamanlıqlı	жаманлықлы	плохой, дурной;
jamanshılıq	жаманшылық	плохое отноше
jamawshılık	жамаўшылык	занятие штопа
jambaslaw	жамбаслаў	и. д. от жамбаслалежание на боку
jambaslıq	жамбаслық	анат. тазовая
jamǵır	жамғыр	дождь; жамгыр жаўды
jamǵırlıq	жамғырлық	дождливость; / до
jampayıw	жампайыў	и. д. от жампай
jampaq	жампақ	низкорослый
jampaqla-	жампақла-	1) ходить припадая
jampaqlat-	жампақлат-	понУд. от жампанла
jampaclaw	жампацлаў	и. д. от жампацла
jampıyǵan	жампыйған	1) покривйвшийся;
jampıyıw	жампыйыў	и. д. от жампый-. - жампық - 1) кривоногий; косо
jampıq-jampıq	жампық-жампық	совершенно - стоптанный (об обуви)
jampıqlan-	жампықлан-	1) быть криво
jamılǵı	жамылғы	покрывало
jamılǵısh	жамылғыш	см. жамылғы
jamılıw	жамылыў	и. д. от - жамылукрывание, покрывание (напр
janındaǵı	жанындағы	находящийся - около
TÁSLIM	ТӘСЛИМ	ет- умереть, скончаться;
SHIQGI	ШЫҚГЫ	а) он испустил дух; он
tóbeme	төбеме	ШЫҚТЫ я сйльно испугал - ся, у меня душа в пятки ушла
awırǵanı	аўырғаны	жаман жаныма батып
shıǵarma-	шығарма-	не мучь - меня {букв
alǵısh	алғыш	а) рел. ангел смерти; б) пе
alǵıshımday	алғышымдай	көремен я его непавйжу всей - душой; жан
janǵa	жанға	тийетуғын - едкий, язвйтельный; жанға тийетуғын мазақ
ǵın	ғын	күлки язвйтельный - смех; жарым жан человек, не пригодный
jana-janlıq	жана-жанлық	1) дружеские
jan-alqım	жан-алқым	агония
salıq	салық	косвенный - налог; жанапай
janbaw	жанбаў	верёвка {привязывае
jandarmlıq	жандармлық	жандармский
janjaq	жанжақ	вокруг, кругом; / ок
janlıq	жанлық	мелкий домашний - скот
jansızlıq	жансызлық	занятие - шпиона
jantaq	жантақ	бот. верблюжья ко
jantaqlı	жантақлы	покрытый вер
jantaqlıq	жантақлық	местность, изоби
jantasıw	жантасыў	и. д. от жантасприближёние. - жантықразг. - 1) кособокий, по
janıw	жаныў	и. д. от - жан- - 1) горе
janıwar	жаныўар	животное
janıwlı	жаныўлы	II зажжённый
jaqa	жақа	I новый; обновлённый;
jacalıq	жацалық	новость, новинка; не
jacarıw	жацарыў	и. д. от жацаробновлёние
jacǵaq	жацғақ	грецкий - орех
jacǵızlıq	жацғызлық	см. жалғызлық
jacǵır-	жацғыр-	звучйть, отдаваться
jacǵırla-	жацғырла-	I) греметь {напр
jacǵırt-	жацғырт-	понуд. от жацғырвызывать - эхо; оглашать, на
jacǵırtqan	жацғыртқан	нама еситилди слы
sayrawı	сайраўы	тоғайдыц ишин жац
ǵırttı	ғыртты	пение птиц огласило лес
jacǵırtıw	жацғыртыў	и. д. от жацғырт-. - жацғырық I эхо, отзвук
jacǵırıq	жацғырық	II подставка для
jacǵırıw	жацғырыў	и. д. от - жацғырзвучание (эха)
jacqa	жацқа	1) стружка; щепка;
jaclatıw	жацлатыў	и. д. от жацлат
jacılǵısh	жацылғыш	ошибающийся, пу
jacıldırıw	жацылдырыў	и. д. от жацыл
jacıltıw	жацылтыў	см. жацылдырыў
jacılıstırıw	жацылыстырыў	и. д. от жа
jacılısıw	жацылысыў	и. д. от жацуЛЫС
jacılıw	жацылыў	и. д. от жацылвведёние в заблуждение. - жап I небольшой ороситель
ıǵı	ығы	нижнее течение - канала;
jap-jaqın	жап-жақын	совсем - близко;
úy	үй	жап- покрывать - юрту; балаға көрпе жап- покрывать ре
